trade_id,entry_date,exit_date,symbol,company_name,sector,entry_price,exit_price,shares,capital_allocated,gross_pnl_inr,net_pnl_inr,return_pct,is_win,total_charges_inr,mfe_pct,mae_pct,highest_price_reached,lowest_price_reached,holding_period,sl_or_tp_hit,trade_type,actual_rank,pred_rank,selection_reason
629,2026-06-09,2026-06-10,GVT&D,GE Vernova T&D India Ltd.,Mid-Cap Equities,4809.6,4809.5807616,415,1995984.0000000002,-7.983936000149697,-4459.884295606084,-0.22344288809960822,False,4451.900359605935,4.249833666001323,-0.5842481703260222,5014.0,4781.5,2 Days (Swing),SL HIT (Trailing Stop Triggered),SWING,7,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (+0.07%), RSI-14 (51.2), clean gap (+1.18%) holding above prev_close. PIT-Score: 4.59 (Rank #1)."
631,2026-06-09,2026-06-11,JSWINFRA,JSW Infrastructure Ltd.,Mid-Cap Equities,271.542,276.6955,7365,1999906.8299999998,37955.527500000084,33455.57006141371,1.672856433087621,True,4499.957438586375,6.208245463495299,-0.43897220190038677,288.3999938964844,270.3500061035156,3 Days (Swing),SL HIT (Trailing Stop Triggered),SWING,5,Rank #3,"Point-in-Time Execution: Coiling proximity to 20-DMA (-1.39%), RSI-14 (45.8), clean gap (+0.95%) holding above prev_close. PIT-Score: 0.83 (Rank #3)."
634,2026-06-12,2026-06-12,POLYCAB,Polycab India Ltd.,Mid-Cap Equities,9498.96,9534.892,210,1994781.5999999999,7545.720000000205,6793.295454264285,0.34055334449968283,True,752.42454573592,0.8110361555370365,-1.220765220613616,9576.0,9383.0,1 Day (Intraday),INTRADAY SQUARE OFF,INTRADAY,81,Rank #2,"Point-in-Time Execution: Coiling proximity to 20-DMA (-0.80%), RSI-14 (55.2), clean gap (+1.15%) holding above prev_close. PIT-Score: 1.11 (Rank #2)."
635,2026-06-15,2026-06-15,HUDCO,Housing & Urban Development Corporation Ltd.,Mid-Cap Equities,208.81679388427733,209.2344274720459,9577,1999838.435029724,3999.6768700596876,3246.4850024447815,0.1623373641379449,True,753.191867614906,1.8596220120671236,-0.39115334982586897,212.6999969482422,208.0,1 Day (Intraday),BREAKEVEN RATCHET / INTRADAY CLOSE,INTRADAY,56,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (+0.40%), RSI-14 (49.4), clean gap (+1.32%) holding above prev_close. PIT-Score: 1.46 (Rank #1)."
636,2026-06-15,2026-06-15,GICRE,General Insurance Corporation of India,Mid-Cap Equities,383.766,386.4755,5211,1999804.6260000002,14119.204499999993,13363.128076529823,0.6682216803977842,True,756.076423470169,2.6667292047758218,-0.4992609810364635,394.0,381.8500061035156,1 Day (Intraday),BREAKEVEN RATCHET / INTRADAY CLOSE,INTRADAY,51,Rank #2,"Point-in-Time Execution: Coiling proximity to 20-DMA (-1.55%), RSI-14 (45.6), clean gap (+0.99%) holding above prev_close. PIT-Score: 0.86 (Rank #2)."
633,2026-06-12,2026-06-17,JSWINFRA,JSW Infrastructure Ltd.,Mid-Cap Equities,279.3575877685547,291.5656939086914,7159,1999920.9708350832,87397.83185723866,82846.6095900502,4.142494168429912,True,4551.222267188472,7.854592459680432,-0.1996007984032011,301.29998779296875,278.79998779296875,4 Days (Swing),SL HIT (Trailing Stop Triggered),SWING,7,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (+0.64%), RSI-14 (51.3), clean gap (+1.22%) holding above prev_close. PIT-Score: 1.14 (Rank #1)."
639,2026-06-17,2026-06-17,MEDANTA,Global Health Ltd.,Mid-Cap Equities,1244.3838244628905,1251.8912243652344,1607,1999724.805911865,12064.391643066658,11308.931493210981,0.5655243891448434,True,755.4601498556771,2.211230924915688,-0.665698855457925,1271.9000244140625,1236.0999755859375,1 Day (Intraday),BREAKEVEN RATCHET / INTRADAY CLOSE,INTRADAY,32,Rank #2,"Point-in-Time Execution: Coiling proximity to 20-DMA (+1.15%), RSI-14 (56.6), clean gap (+0.47%) holding above prev_close. PIT-Score: 0.75 (Rank #2)."
637,2026-06-16,2026-06-18,AWL,AWL Agri Business Ltd.,Mid-Cap Equities,192.3739855041504,192.42437756347655,10396,1999919.9533011476,523.8758487547748,-3937.32310507452,-0.1968740348120142,False,4461.198953829295,3.418347562357861,-0.4855038275037437,198.9499969482422,191.44000244140625,3 Days (Swing),SL HIT (Trailing Stop Triggered),SWING,7,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (-0.34%), RSI-14 (48.3), clean gap (+0.43%) holding above prev_close. PIT-Score: 1.48 (Rank #1)."
641,2026-06-22,2026-06-22,POLICYBZR,PB Fintech Ltd.,Mid-Cap Equities,1661.2158244628906,1665.4624487304689,1203,1998442.6368288575,5108.688993896591,4355.671650045019,0.21795329872248068,True,753.0173438515714,3.0149137533906987,-0.9641055096615109,1711.300048828125,1645.199951171875,1 Day (Intraday),BREAKEVEN RATCHET / INTRADAY CLOSE,INTRADAY,23,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (+0.89%), RSI-14 (52.9), clean gap (+1.30%) holding above prev_close. PIT-Score: 1.10 (Rank #1)."
642,2026-06-22,2026-06-22,MPHASIS,MphasiS Ltd.,Mid-Cap Equities,2294.58,2275.5398974609375,871,1998579.18,-16583.929311523447,-17330.785788921687,-0.8671553252607027,False,746.8564773982398,0.5499895916409571,-1.0189249809605647,2307.199951171875,2271.199951171875,1 Day (Intraday),INTRADAY SQUARE OFF,INTRADAY,65,Rank #2,"Point-in-Time Execution: Coiling proximity to 20-DMA (-1.37%), RSI-14 (47.6), clean gap (+0.99%) holding above prev_close. PIT-Score: 0.84 (Rank #2)."
