symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,trade_type,exit_reason
TIINDIA,2026-02-10,2026-02-12,2385.839662518098,2418.4327674178976,580,18904.000841883724,1.366106256503408,SWING,STOP_LOSS_HIT
GODREJIND,2026-02-12,2026-02-12,1027.072,1009.1776121826172,1376,-24622.677636718625,-1.7422719943083567,INTRADAY,SQUARE_OFF_INTRADAY
SJVN,2026-02-11,2026-02-13,71.71640926339464,76.29538031152516,19664,90040.88669043867,6.384830327063957,SWING,STOP_LOSS_HIT
IPCALAB,2026-02-17,2026-02-17,1509.290022063661,1483.466452392578,940,-24274.15549081788,-1.7109746499068574,INTRADAY,SQUARE_OFF_INTRADAY
GMRAIRPORT,2026-02-16,2026-02-18,95.43545153045653,98.92176274108887,14881,51879.797125419806,3.6530567569219734,SWING,STOP_LOSS_HIT
TATAINVEST,2026-02-19,2026-02-19,644.9128369593998,687.3703680419922,2206,93661.31356819876,6.583452623267486,INTRADAY,SQUARE_OFF_INTRADAY
GODREJIND,2026-02-19,2026-02-19,991.5156377563476,1024.0477756347657,1272,41380.87938134782,3.2810514166002953,INTRADAY,SQUARE_OFF_INTRADAY
GODFRYPHLP,2026-02-18,2026-02-20,2059.820683237235,2436.0137882701933,690,259573.2424727414,18.263390988080076,SWING,STOP_LOSS_HIT
SCHAEFFLER,2026-02-23,2026-02-23,3881.66766691607,3910.1274521484374,376,10700.879247370092,0.7331844885880754,INTRADAY,SQUARE_OFF_INTRADAY
SAIL,2026-02-25,2026-02-25,162.03465306091306,164.6001326904297,9031,23168.84653416469,1.5832907227271935,INTRADAY,SQUARE_OFF_INTRADAY
ALKEM,2026-02-25,2026-02-25,5515.1547925507375,5603.720782226563,265,23469.987264093685,1.6058658914787014,INTRADAY,SQUARE_OFF_INTRADAY
JSWENERGY,2026-02-26,2026-02-26,491.7033856917118,495.9658887329102,2985,12723.571577977182,0.8668850297221444,INTRADAY,SQUARE_OFF_INTRADAY
MANKIND,2026-02-25,2026-03-02,2073.7025,2230.53,705,110563.38750000023,7.562680760620211,SWING,STOP_LOSS_HIT
NATIONALUM,2026-03-04,2026-03-04,363.35689605304356,369.96509942626955,4074,26921.820542522684,1.8186536281566297,INTRADAY,SQUARE_OFF_INTRADAY
